<NUMBER OF ZONES> 2
<NUMBER OF NODES> 4
<FIRST THRU NODE> 1
<NUMBER OF LINKS> 6
<END OF METADATA>


~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	;
	1	3	9000000	1	40	70.00	1	0	0	1	;
	3	1	1500	1	9999999	70.00	1	0	0	1	;
	1	4	1500	1	1	70.00	1	0	0	1	;
	4	1	1500	1	9999999	70.00	1	0	0	1	;
	3	2	1500	1	1	70.00	1	0	0	1	;
	2	3	1500	1	99999999	70.00	1	0	0	1	;
	4	3	1500	1	0.001	70.00	1	0	0	1	;
	3	4	1500	1	99999999	70.00	1	0	0	1	;
	4	2	9000000	1	40	70.00	1	0	0	1	;
	2	4	1500	1	9999999999	70.00	1	0	0	1	;
